,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate
9027,2012030131_155,2012030131,155,15.0,3.0,Goal,Wrist Shot,79.0,3.0,2,REGULAR,419,781,2013-05-03 00:46:14,1,1,"Alex Ovechkin (1) Wrist Shot, assists: Mike Green (1), Nicklas Backstrom (1)",79.0,3.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9028,2015030132_226,2015030132,226,15.0,4.0,Goal,Slap Shot,60.0,20.0,2,REGULAR,1041,159,2016-04-17 00:48:04,1,3,"Alex Ovechkin (1) Slap Shot, assists: Nicklas Backstrom (3), Marcus Johansson (4)",60.0,20.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9029,2015030133_182,2015030133,182,15.0,4.0,Goal,Snap Shot,-46.0,15.0,2,REGULAR,530,670,2016-04-19 00:24:20,2,1,"Alex Ovechkin (2) Snap Shot, assists: Nicklas Backstrom (5), T.J. Oshie (2)",46.0,-15.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9030,2015030133_336,2015030133,336,15.0,4.0,Goal,Slap Shot,54.0,21.0,3,REGULAR,898,302,2016-04-19 01:40:05,5,1,"Alex Ovechkin (3) Slap Shot, assists: John Carlson (3), T.J. Oshie (3)",54.0,21.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9031,2015030223_299,2015030223,299,15.0,5.0,Goal,Wrist Shot,-52.0,-25.0,3,REGULAR,482,718,2016-05-03 02:16:31,1,3,"Alex Ovechkin (4) Wrist Shot, assists: Matt Niskanen (3), Nicklas Backstrom (6)",52.0,25.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9032,2015030225_31,2015030225,31,15.0,5.0,Goal,Slap Shot,-49.0,-10.0,1,REGULAR,244,956,2016-05-07 23:32:03,0,1,"Alex Ovechkin (5) Slap Shot, assists: Nicklas Backstrom (7), T.J. Oshie (4)",49.0,10.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9033,2014030221_112,2014030221,112,15.0,3.0,Goal,Snap Shot,52.0,25.0,1,REGULAR,1093,107,2015-05-01 00:16:47,1,0,"Alex Ovechkin (3) Snap Shot, assists: John Carlson (4), Braden Holtby (1)",52.0,25.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9034,2014030222_304,2014030222,304,15.0,3.0,Goal,Snap Shot,71.0,-16.0,3,REGULAR,629,571,2015-05-02 18:52:43,2,3,"Alex Ovechkin (4) Snap Shot, assists: Joel Ward (4), Brooks Orpik (2)",71.0,-16.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9035,2014030227_91,2014030227,91,15.0,3.0,Goal,Snap Shot,75.0,-2.0,1,REGULAR,770,430,2015-05-14 00:08:51,1,0,"Alex Ovechkin (5) Snap Shot, assists: Marcus Johansson (3), Nicklas Backstrom (5)",75.0,-2.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9036,2016030132_141,2016030132,141,15.0,10.0,Goal,Wrist Shot,68.0,21.0,2,REGULAR,227,973,2017-04-16 00:16:47,1,1,"Alex Ovechkin (1) Wrist Shot, assists: T.J. Oshie (2), Marcus Johansson (1)",68.0,21.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9037,2016030133_36,2016030133,36,15.0,10.0,Goal,Snap Shot,69.0,12.0,1,REGULAR,289,911,2017-04-17 23:19:51,2,0,"Alex Ovechkin (2) Snap Shot, assists: Nicklas Backstrom (1), T.J. Oshie (4)",69.0,12.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9038,2016030134_42,2016030134,42,15.0,10.0,Goal,Slap Shot,66.0,22.0,1,REGULAR,274,926,2017-04-19 23:19:12,2,0,"Alex Ovechkin (3) Slap Shot, assists: Kevin Shattenkirk (2)",66.0,22.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9039,2014030142_215,2014030142,215,15.0,2.0,Goal,Wrist Shot,76.0,10.0,2,REGULAR,969,231,2015-04-18 00:33:03,3,2,"Alex Ovechkin (1) Wrist Shot, assists: Matt Niskanen (1), Nicklas Backstrom (2)",76.0,10.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9040,2014030144_100,2014030144,100,15.0,2.0,Goal,Tip-In,34.0,-25.0,1,REGULAR,786,414,2015-04-22 00:05:21,1,0,"Alex Ovechkin (2) Tip-In, assists: John Carlson (2), Nicklas Backstrom (3)",-34.0,25.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9041,2016030221_200,2016030221,200,15.0,5.0,Goal,Wrist Shot,54.0,13.0,2,REGULAR,1097,103,2017-04-28 01:12:20,2,1,"Alex Ovechkin (4) Wrist Shot, assists: Lars Eller (3), T.J. Oshie (5)",54.0,13.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9042,2017030311_103,2017030311,103,15.0,14.0,Goal,Slap Shot,-42.0,-3.0,1,REGULAR,1194,6,2018-05-12 00:53:22,2,0,"Alex Ovechkin (9) Slap Shot, assists: Evgeny Kuznetsov (9), T.J. Oshie (4)",42.0,3.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9043,2017030312_264,2017030312,264,15.0,14.0,Goal,Wrist Shot,-68.0,-12.0,3,REGULAR,214,986,2018-05-14 02:20:48,5,2,"Alex Ovechkin (10) Wrist Shot, assists: Evgeny Kuznetsov (11), Tom Wilson (6)",68.0,12.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9044,2017030315_292,2017030315,292,15.0,14.0,Goal,Slap Shot,-42.0,-20.0,3,REGULAR,1104,96,2018-05-20 01:48:48,2,3,"Alex Ovechkin (11) Slap Shot, assists: John Carlson (12), Lars Eller (8)",42.0,20.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9045,2017030317_6,2017030317,6,15.0,14.0,Goal,Slap Shot,-41.0,-22.0,1,REGULAR,62,1138,2018-05-24 00:17:28,1,0,"Alex Ovechkin (12) Slap Shot, assists: Evgeny Kuznetsov (13), Tom Wilson (8)",41.0,22.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9046,2017030132_98,2017030132,98,15.0,29.0,Goal,Wrist Shot,-57.0,-19.0,1,REGULAR,806,394,2018-04-16 00:11:03,0,2,"Alex Ovechkin (1) Wrist Shot, assists: John Carlson (4), T.J. Oshie (1)",57.0,19.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9047,2017030132_188,2017030132,188,15.0,29.0,Goal,Snap Shot,81.0,24.0,2,REGULAR,249,951,2018-04-16 00:56:19,1,3,"Alex Ovechkin (2) Snap Shot, assists: Nicklas Backstrom (3), John Carlson (5)",81.0,24.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9048,2017030134_222,2017030134,222,15.0,29.0,Goal,Wrist Shot,-64.0,9.0,3,REGULAR,169,1031,2018-04-20 01:35:15,3,0,"Alex Ovechkin (3) Wrist Shot, assists: Evgeny Kuznetsov (3), Tom Wilson (1)",64.0,-9.0,right,8471214,Alex,Ovechkin,LW,1985-09-17
9049,2017030136_163,2017030136,163,15.0,29.0,Goal,Backhand,76.0,1.0,2,REGULAR,770,430,2018-04-24 00:53:00,2,1,"Alex Ovechkin (4) Backhand, assists: Brooks Orpik (2), Christian Djoos (1)",76.0,1.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9050,2017030136_190,2017030136,190,15.0,29.0,Goal,Slap Shot,59.0,23.0,2,REGULAR,1103,97,2018-04-24 01:06:30,3,1,"Alex Ovechkin (5) Slap Shot, assists: John Carlson (8), Evgeny Kuznetsov (4)",59.0,23.0,left,8471214,Alex,Ovechkin,LW,1985-09-17
9051,2017030412_170,2017030412,170,15.0,54.0,Goal,Snap Shot,-81.0,-14.0,2,REGULAR,338,862,2018-05-31 01:31:29,2,1,"Alex Ovechkin (13) Snap Shot, assists: Lars Eller (10), Nicklas Backstrom (14)",-81.0,-14.0,,8471214,Alex,Ovechkin,LW,1985-09-17
