"","playing_team_1","playing_team_2","won_1","won_2","goals1","shots1","hits1","pim1","powerPlayOpportunities1","powerPlayGoals1","giveaways1","takeaways1","faceOffWinPercentage1","goals2","shots2","hits2","pim2","powerPlayOpportunities2","powerPlayGoals2","giveaways2","takeaways2","faceOffWinPercentage2","count","wins","REG_1_team","REG_2_team","OT_1_team","OT_2_team","SO_1_team","SO_2_team"
"1",1,11,2,8,17,348,269,61,25,3,104,56,50.42,30,304,178,63,25,4,124,42,49.58,10,2,1,7,1,1,0,0
"2",1,12,15,6,72,601,451,190,53,13,196,105,46.8571428571429,44,614,456,169,70,13,201,117,53.1428571428571,21,15,11,4,4,2,0,0
"3",1,14,3,7,21,277,293,86,34,4,112,38,52.33,33,303,364,84,35,8,109,52,47.67,10,3,2,6,0,0,1,1
"4",1,15,7,3,31,271,258,130,36,9,118,55,49.16,29,327,245,117,36,10,113,73,50.84,10,7,5,3,2,0,0,0
"5",1,18,3,7,26,310,235,87,28,3,111,67,50.46,28,296,276,108,28,1,81,72,49.54,10,3,3,4,0,2,0,1
"6",1,20,8,2,36,317,179,64,30,6,86,61,52.47,23,329,234,60,32,8,104,58,47.53,10,8,6,1,2,1,0,0
"7",1,21,5,5,24,270,184,102,19,5,110,61,53.02,27,322,273,66,37,5,108,55,46.98,10,5,4,4,0,1,1,0
"8",1,24,7,11,38,512,415,208,62,8,166,126,50.6833333333333,54,512,452,176,64,13,186,94,49.3166666666667,18,7,5,9,1,0,1,2
"9",1,25,3,7,25,288,235,97,24,6,125,66,50.11,28,300,289,75,35,5,134,64,49.89,10,3,3,5,0,1,0,1
"10",1,26,11,7,51,494,422,142,45,5,191,163,46.4666666666667,36,537,430,110,56,7,180,144,53.5333333333333,18,11,10,6,0,1,1,0
"11",1,27,5,5,31,353,175,80,33,7,77,72,52.93,30,263,239,94,26,3,93,58,47.07,10,5,5,5,0,0,0,0
"12",1,28,4,6,29,317,244,91,31,6,71,41,47.24,34,264,291,88,29,12,70,48,52.76,10,4,3,6,1,0,0,0
"13",1,29,1,9,11,269,229,130,29,3,137,53,48.44,34,311,213,116,36,9,136,80,51.56,10,1,1,9,0,0,0,0
"14",1,30,19,18,95,1265,1031,582,142,23,412,252,49.1108108108108,105,1167,1350,624,124,23,393,217,50.8891891891892,37,19,13,13,4,3,2,2
"15",1,31,17,17,83,1011,784,416,107,13,325,202,50.9088235294118,89,1053,956,363,118,27,369,161,49.0911764705882,34,17,11,10,2,4,4,3
"16",1,32,5,5,28,322,241,133,43,10,124,63,47.41,25,341,322,161,35,5,113,46,52.59,10,5,4,4,0,0,1,1
"17",1,33,13,11,58,752,582,254,77,14,223,150,49.1375,53,710,647,227,71,10,243,150,50.8625,24,13,9,9,3,1,1,1
"18",1,34,4,6,19,320,244,85,28,3,103,85,45.37,21,301,246,77,28,8,114,62,54.63,10,4,1,2,3,1,0,3
"19",1,35,8,5,45,398,241,128,50,12,137,65,51.8461538461538,34,366,389,190,39,6,131,67,48.1538461538462,13,8,7,4,1,1,0,0
"20",1,36,8,7,34,469,317,148,50,12,164,60,48.82,44,425,469,131,51,12,138,83,51.18,15,8,6,6,1,1,1,0
"21",1,37,2,8,22,292,187,84,21,4,83,57,52.35,35,275,167,55,29,5,67,48,47.65,10,2,2,8,0,0,0,0
"22",1,38,1,1,6,61,46,8,4,1,23,15,51.65,8,65,40,8,4,1,27,14,48.35,2,1,1,1,0,0,0,0
"23",1,5,17,9,72,832,684,413,90,16,306,160,49.1961538461538,72,807,848,404,97,19,297,167,50.8038461538462,26,17,12,8,2,1,3,0
"24",10,1,12,18,62,890,930,317,94,13,417,206,48.61,71,880,787,327,99,11,368,176,51.39,30,12,10,14,2,3,0,1
"25",10,11,5,5,19,302,257,54,20,4,120,76,48.36,24,313,151,44,25,5,103,67,51.64,10,5,3,5,2,0,0,0
"26",10,12,9,6,32,484,283,118,48,7,140,103,47.9933333333333,24,466,272,106,54,9,142,94,52.0066666666667,15,9,4,2,5,3,0,1
