"","playing_team_1","playing_team_2","count","team_1_wins"
"1",23,22,26,9
"2",23,10,25,11
"3",23,16,26,17
"4",23,17,26,12
"5",23,6,18,4
"6",23,19,18,12
"7",23,1,18,6
"8",23,30,18,8
"9",23,5,18,8
"10",23,26,24,14
"11",23,33,18,8
"12",23,31,23,10
"13",23,24,24,8
"14",23,11,10,4
"15",23,12,15,6
"16",23,34,10,5
"17",23,18,10,1
"18",23,21,10,2
"19",23,27,10,3
"20",23,25,10,3
"21",23,20,10,7
"22",23,32,10,3
"23",23,15,10,5
"24",23,14,10,6
"25",23,29,10,2
"26",23,36,21,6
"27",23,37,10,7
"28",23,35,13,3
"29",23,28,10,6
"30",23,38,2,1
"31",22,10,26,17
"32",22,16,25,12
"33",22,17,32,12
"34",22,6,18,6
"35",22,19,18,10
"36",22,1,18,6
"37",22,30,18,10
"38",22,5,18,9
"39",22,26,24,10
"40",22,33,24,12
"41",22,31,23,10
"42",22,24,31,13
"43",22,11,10,3
"44",22,12,15,8
"45",22,34,10,6
"46",22,18,10,4
"47",22,21,10,6
"48",22,27,10,5
"49",22,25,10,4
"50",22,20,10,5
"51",22,32,10,5
"52",22,15,10,6
"53",22,14,10,4
"54",22,29,10,6
"55",22,36,21,10
"56",22,37,10,4
"57",22,35,13,8
"58",22,28,10,6
"59",22,38,2,2
"60",10,16,33,19
"61",10,17,43,20
"62",10,6,23,11
"63",10,19,18,14
"64",10,1,30,12
"65",10,30,24,10
"66",10,5,18,10
"67",10,26,24,20
"68",10,33,18,11
"69",10,31,25,12
"70",10,24,38,20
"71",10,11,10,5
"72",10,12,15,9
"73",10,34,10,6
"74",10,18,10,4
"75",10,21,10,8
"76",10,27,10,5
"77",10,25,10,7
"78",10,20,10,7
"79",10,32,10,6
"80",10,15,10,5
"81",10,14,15,6
"82",10,29,10,5
"83",10,36,21,12
"84",10,37,10,5
"85",10,35,13,6
"86",10,28,10,9
"87",10,38,2,1
"88",16,17,31,14
"89",16,6,18,6
"90",16,19,18,11
"91",16,1,18,10
"92",16,30,18,10
"93",16,5,18,9
"94",16,26,25,13
"95",16,33,18,9
"96",16,31,18,6
"97",16,24,30,16
"98",16,11,10,6
"99",16,12,15,10
"100",16,34,10,5
"101",16,18,10,6
"102",16,21,10,5
"103",16,27,10,6
"104",16,25,10,6
"105",16,20,10,5
"106",16,32,10,1
"107",16,15,10,4
"108",16,14,10,4
"109",16,29,10,3
"110",16,36,21,6
"111",16,37,10,6
"112",16,35,13,9
"113",16,28,10,4
"114",16,38,2,1
"115",17,6,22,8
"116",17,19,18,15
"117",17,1,18,13
"118",17,30,30,21
"119",17,5,18,11
"120",17,26,24,16
"121",17,33,18,12
"122",17,31,25,16
"123",17,24,43,25
"124",17,11,10,1
"125",17,12,15,8
"126",17,34,16,11
"127",17,18,10,4
"128",17,21,10,5
"129",17,27,10,5
"130",17,25,10,8
"131",17,20,10,6
"132",17,32,10,7
"133",17,15,10,3
"134",17,14,10,5
"135",17,29,16,10
"136",17,36,32,22
"137",17,37,10,6
"138",17,35,13,10
"139",17,28,10,6
"140",17,38,2,1
"141",6,19,26,16
"142",6,1,32,13
"143",6,30,32,15
"144",6,5,39,20
"145",6,26,18,12
"146",6,33,25,19
"147",6,31,29,19
"148",6,24,18,3
"149",6,11,16,7
"150",6,12,26,19
"151",6,34,10,5
"152",6,18,10,4
"153",6,21,10,6
"154",6,27,10,3
"155",6,25,10,4
"156",6,20,10,5
"157",6,32,10,1
"158",6,15,10,6
"159",6,14,10,5
"160",6,29,10,7
"161",6,36,15,9
"162",6,37,10,6
"163",6,35,13,8
"164",6,28,10,10
"165",6,38,2,1
"166",19,1,26,10
"167",19,30,25,11
"168",19,5,26,13
"169",19,26,18,6
"170",19,33,24,6
"171",19,31,24,7
