"","player_id","firstName","lastName","nationality","birthCity","primaryPosition","birthDate","link","s20122013","s20132014","s20142015","s20152016","s20162017","s20172018"
"1",8467412,"Alexei","Ponikarovsky","UKR","Kiev","LW","1980-04-09","/api/v1/people/8467412",23,0,0,0,0,0
"2",8468501,"Anton","Volchenkov","RUS","Moscow","D","1982-02-25","/api/v1/people/8468501",23,23,34,0,0,0
"3",8459670,"Kimmo","Timonen","FIN","Kuopio","D","1975-03-18","/api/v1/people/8459670",16,16,11,0,0,0
"4",8471233,"Travis","Zajac","CAN","Winnipeg","C","1985-05-13","/api/v1/people/8471233",23,23,23,23,23,23
"5",8455710,"Martin","Brodeur","CAN","Montreal","G","1972-05-06","/api/v1/people/8455710",23,23,18,0,0,0
"6",8475640,"Erik","Gustafsson","SWE","Kvissleby","D","1988-12-15","/api/v1/people/8475640",16,16,0,0,0,0
"7",8476177,"Matt","Read","CAN","Ilderton","RW","1986-06-14","/api/v1/people/8476177",16,16,16,16,16,16
"8",8464977,"Dainius","Zubrus","LTU","Elektrenai","C","1978-06-16","/api/v1/people/8464977",23,23,23,29,0,0
"9",8474190,"Wayne","Simmonds","CAN","Scarborough","RW","1988-08-26","/api/v1/people/8474190",16,16,16,16,16,16
"10",8464975,"Daniel","Briere","CAN","Gatineau","C","1977-10-06","/api/v1/people/8464975",16,1,27,0,0,0
"11",8468534,"Andreas","Lilja","SWE","Helsingborg","D","1975-07-13","/api/v1/people/8468534",16,0,0,0,0,0
"12",8475603,"Ben","Holmstrom","USA","Colorado Springs","C","1987-04-09","/api/v1/people/8475603",0,0,0,0,0,0
"13",8472410,"Stephen","Gionta","USA","Rochester","RW","1983-10-09","/api/v1/people/8472410",23,23,23,23,22,0
"14",8474037,"James","van Riemsdyk","USA","Middletown","LW","1989-05-04","/api/v1/people/8474037",5,5,5,5,5,5
"15",8473542,"Tom","Sestito","USA","Rome","LW","1987-09-28","/api/v1/people/8473542",20,20,20,17,17,0
"16",8476457,"Adam","Larsson","SWE","Skellefteå","D","1992-11-12","/api/v1/people/8476457",23,23,23,23,25,25
"17",8474631,"Marc-Andre","Bourdon","CAN","St-Hyacinthe","D","1989-09-17","/api/v1/people/8474631",0,0,0,0,0,0
"18",8472382,"Andy","Greene","USA","Trenton","D","1982-10-30","/api/v1/people/8472382",23,23,23,23,23,23
"19",8474641,"Adam","Henrique","CAN","Brantford","C","1990-02-06","/api/v1/people/8474641",23,23,23,23,23,32
"20",8474161,"Jakub","Voracek","CZE","Kladno","RW","1989-08-15","/api/v1/people/8474161",16,16,16,16,16,16
"21",8475972,"Tyler","Brown","CAN","Wasaga Beach","LW","1990-02-07","/api/v1/people/8475972",0,0,0,0,0,0
