"","id","season","goals","shots","hits","pim","powerPlayOpportunities","powerPlayGoals","giveaways","takeaways","goals_away","goals_home","shortHandedGoals","faceOffWins","faceOffTaken","PPpercentage","faceOffPercentage"
"1",23,"s20122013",110,1363,892,509,176,28,334,297,46,64,11,1339,2779,0.159090909090909,0.4818279956819
"2",23,"s20132014",197,2200,1568,656,241,47,552,465,92,105,9,2174,4624,0.195020746887967,0.470155709342561
"3",23,"s20142015",176,2009,1646,760,212,41,624,453,90,86,7,2203,4659,0.193396226415094,0.472848250697575
"4",23,"s20152016",182,2004,1840,814,256,51,509,463,91,91,5,2183,4701,0.19921875,0.464369283131249
"5",23,"s20162017",180,2279,1661,817,251,44,624,467,88,92,6,2422,4920,0.175298804780877,0.492276422764228
"6",23,"s20172018",255,2771,1968,792,271,57,693,714,129,126,13,2521,5361,0.210332103321033,0.470248088043276
"7",5,"s20122013",163,1498,1977,860,187,36,667,390,82,81,2,1662,3413,0.192513368983957,0.486961617345444
"8",5,"s20132014",222,2292,2592,1040,252,50,892,600,98,124,7,2574,5334,0.198412698412698,0.482564679415073
"9",5,"s20142015",206,2397,2545,823,283,45,710,756,77,129,7,2547,5194,0.159010600706714,0.490373507893724
"10",5,"s20152016",192,2515,2119,756,259,40,626,669,84,108,3,2617,5173,0.154440154440154,0.505895998453509
"11",5,"s20162017",266,2830,2192,847,262,61,919,781,133,133,6,2749,5478,0.232824427480916,0.501825483753195
"12",5,"s20172018",290,2839,1848,637,239,60,1084,756,145,145,5,2921,5651,0.251046025104602,0.516899663776323
"13",26,"s20122013",127,1545,1100,538,165,24,333,426,61,66,3,1503,2994,0.145454545454545,0.502004008016032
"14",26,"s20132014",205,2561,1807,650,281,41,734,785,102,103,11,2652,5042,0.145907473309609,0.525981753272511
"15",26,"s20142015",183,2524,1953,549,240,45,720,746,93,90,2,2602,4913,0.1875,0.529615306330145
"16",26,"s20152016",196,2451,1550,562,238,40,656,756,90,106,3,2523,4701,0.168067226890756,0.536694320357371
"17",26,"s20162017",212,2493,1611,476,231,41,786,842,103,109,10,2431,4581,0.177489177489178,0.530670159353853
"18",26,"s20172018",225,2781,1597,512,239,44,803,887,117,108,3,2594,4798,0.184100418410042,0.540641934139225
"19",33,"s20122013",109,1401,1110,541,142,29,287,307,45,64,4,1342,2719,0.204225352112676,0.493563810224347
"20",33,"s20132014",188,2451,1860,848,269,27,473,523,94,94,8,2380,4931,0.100371747211896,0.482660717907118
"21",33,"s20142015",198,2517,2268,733,246,40,472,487,93,105,1,2505,5155,0.16260162601626,0.485935984481086
"22",33,"s20152016",246,2595,2118,901,293,49,695,574,117,129,5,2767,5538,0.167235494880546,0.499638858793788
"23",33,"s20162017",205,2644,1665,813,265,45,786,643,97,108,8,2384,4974,0.169811320754717,0.479292320064335
"24",33,"s20172018",245,2823,1653,899,249,47,1076,746,111,134,10,2657,5236,0.188755020080321,0.507448433919022
"25",31,"s20122013",147,1323,1105,577,163,31,396,316,66,81,0,1500,2932,0.190184049079755,0.511596180081855
"26",31,"s20132014",242,2551,1774,893,277,52,680,530,110,132,11,2529,5125,0.187725631768953,0.493463414634146
"27",31,"s20142015",324,3159,2594,1067,367,70,904,671,152,172,10,3117,6324,0.190735694822888,0.492884250474383
"28",31,"s20152016",272,2877,2212,1057,335,53,815,568,127,145,7,2878,5849,0.158208955223881,0.492049923063772
"29",31,"s20162017",230,2454,1842,875,272,62,710,502,105,125,4,2376,4985,0.227941176470588,0.476629889669007
"30",31,"s20172018",340,3177,2242,954,332,82,826,713,166,174,9,2956,6076,0.246987951807229,0.486504279131007
"31",24,"s20122013",158,1576,1335,592,180,47,462,353,76,82,3,1699,3346,0.261111111111111,0.507770472205619
"32",24,"s20132014",225,2413,1904,960,291,68,626,575,112,113,5,2436,5032,0.233676975945017,0.484101748807631
"33",24,"s20142015",265,2864,2880,963,265,63,852,691,127,138,4,3005,5786,0.237735849056604,0.519357068786727
"34",24,"s20152016",277,2898,2426,875,301,68,819,650,136,141,2,2769,5585,0.225913621262458,0.49579230080573
"35",24,"s20162017",297,2935,2215,880,287,67,998,758,148,149,5,2792,5642,0.233449477351916,0.494859978730946
"36",24,"s20172018",342,3141,2565,1009,319,77,1107,783,167,175,5,3201,6388,0.241379310344828,0.501095804633688
"37",11,"s20122013",213,2281,1501,653,220,33,533,686,98,115,7,2145,4343,0.15,0.493898227032006
"38",11,"s20132014",319,3248,1836,862,314,62,813,675,143,176,10,3165,6146,0.197452229299363,0.51496908558412
"39",11,"s20142015",289,3500,2030,758,328,58,900,776,141,148,6,3393,6487,0.176829268292683,0.523046092184369
"40",11,"s20152016",254,2755,1595,725,271,63,698,524,123,131,11,2625,5329,0.232472324723247,0.492587727528617
"41",11,"s20162017",243,2635,1271,614,242,44,824,636,117,126,1,2356,4964,0.181818181818182,0.474617244157937
"42",11,"s20172018",228,2794,1376,613,269,43,699,586,110,118,5,2472,5019,0.159851301115242,0.492528392109982
"43",12,"s20122013",155,1865,1245,604,234,41,487,355,72,83,4,1856,3615,0.175213675213675,0.513416320885201
"44",12,"s20132014",223,2608,1783,767,302,52,630,530,118,105,3,2619,5184,0.172185430463576,0.505208333333333
"45",12,"s20142015",246,2597,1789,806,323,75,636,449,118,128,4,2768,5422,0.232198142414861,0.510512725931391
