,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season
91,2014020595_226,2014020595,226,5.0,6.0,Goal,Slap Shot,55.0,31.0,3,REGULAR,14,1186,2015-01-08 03:05:11,2,2,"Evgeni Malkin (18) Slap Shot, assists: Christian Ehrhoff (9)",55.0,31.0,left,8471215,Evgeni,Malkin,C,1986-07-31,20142015
378,2013030225_136,2013030225,136,5.0,3.0,Goal,Wrist Shot,-84.0,16.0,2,REGULAR,203,997,2014-05-10 00:10:38,2,1,"Evgeni Malkin (6) Wrist Shot, assists: Kris Letang (4)",84.0,-16.0,right,8471215,Evgeni,Malkin,C,1986-07-31,20132014
809,2014020255_172,2014020255,172,5.0,3.0,Goal,Snap Shot,-65.0,10.0,2,REGULAR,489,711,2014-11-16 01:19:40,2,2,"Evgeni Malkin (7) Snap Shot, assists: Nick Spaling (3)",65.0,-10.0,right,8471215,Evgeni,Malkin,C,1986-07-31,20142015
2168,2017020650_222,2017020650,222,5.0,6.0,Goal,Snap Shot,-72.0,6.0,2,REGULAR,1196,4,2018-01-08 02:12:12,5,4,"Evgeni Malkin (16) Snap Shot, assists: Sidney Crosby (28), Patric Hornqvist (13)",72.0,-6.0,right,8471215,Evgeni,Malkin,C,1986-07-31,20172018
2169,2017020650_338,2017020650,338,5.0,6.0,Goal,Wrist Shot,-81.0,-3.0,4,OVERTIME,171,129,2018-01-08 03:16:10,5,6,"Evgeni Malkin (17) Wrist Shot, assists: Phil Kessel (29), Kris Letang (24)",81.0,3.0,right,8471215,Evgeni,Malkin,C,1986-07-31,20172018
2365,2015030314_290,2015030314,290,5.0,14.0,Goal,Wrist Shot,-64.0,4.0,3,REGULAR,673,527,2016-05-21 02:39:38,2,4,"Evgeni Malkin (4) Wrist Shot, assists: Ian Cole (2)",64.0,-4.0,right,8471215,Evgeni,Malkin,C,1986-07-31,20152016
2885,2014020406_273,2014020406,273,5.0,3.0,Goal,Snap Shot,78.0,6.0,3,REGULAR,917,283,2014-12-09 02:23:43,2,3,"Evgeni Malkin (15) Snap Shot, assists: Brandon Sutter (7), Blake Comeau (8)",78.0,6.0,left,8471215,Evgeni,Malkin,C,1986-07-31,20142015
3841,2014020312_176,2014020312,176,5.0,6.0,Goal,Snap Shot,54.0,19.0,2,REGULAR,582,618,2014-11-25 01:25:08,2,2,"Evgeni Malkin (9) Snap Shot, assists: Kris Letang (11), Sidney Crosby (19)",54.0,19.0,left,8471215,Evgeni,Malkin,C,1986-07-31,20142015
3842,2014020312_312,2014020312,312,5.0,6.0,Goal,Slap Shot,60.0,-29.0,4,OVERTIME,32,268,2014-11-25 02:40:16,3,2,"Evgeni Malkin (10) Slap Shot, assists: Sidney Crosby (20), Kris Letang (12)",60.0,-29.0,left,8471215,Evgeni,Malkin,C,1986-07-31,20142015
4106,2013020756_170,2013020756,170,5.0,8.0,Goal,Wrist Shot,-81.0,-5.0,2,REGULAR,903,297,2014-01-23 01:32:45,1,5,"Evgeni Malkin (13) Wrist Shot, assists: Rob Scuderi (2), Brooks Orpik (10)",81.0,5.0,right,8471215,Evgeni,Malkin,C,1986-07-31,20132014
