,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
265,2016021089_151,2016021089,151,14.0,6.0,Goal,Slap Shot,68.0,-24.0,2,REGULAR,494,706,2017-03-24 00:21:37,2,2,"Nikita Kucherov (35) Slap Shot, assists: Jonathan Drouin (29), Victor Hedman (46)",68.0,-24.0,left,8476453,Nikita,Kucherov,RW,1993-06-17,20162017,31.89043743820395,Jonathan Drouin,"(30.0ft, 35.0ft)",Nikita Kucherov
266,2016021089_300,2016021089,300,14.0,6.0,Goal,Slap Shot,-61.0,29.0,3,REGULAR,611,589,2017-03-24 01:35:13,5,3,"Nikita Kucherov (36) Slap Shot, assists: Victor Hedman (47), Jonathan Drouin (30)",61.0,-29.0,right,8476453,Nikita,Kucherov,RW,1993-06-17,20162017,40.311288741492746,Victor Hedman,"(40.0ft, 45.0ft)",Nikita Kucherov
267,2016021089_341,2016021089,341,14.0,6.0,Goal,Wrist Shot,-19.0,-21.0,3,REGULAR,1083,117,2017-03-24 01:51:33,6,3,"Nikita Kucherov (37) Wrist Shot, assists: Ondrej Palat (27)",19.0,21.0,right,8476453,Nikita,Kucherov,RW,1993-06-17,20162017,73.08214556237385,Ondrej Palat,"(70.0ft, 75.0ft)",Nikita Kucherov
352,2014030313_353,2014030313,353,14.0,3.0,Goal,Wrist Shot,-63.0,1.0,4,OVERTIME,213,987,2015-05-21 03:04:08,5,6,"Nikita Kucherov (7) Wrist Shot, assists: Nikita Nesterov (4)",63.0,-1.0,right,8476453,Nikita,Kucherov,RW,1993-06-17,20142015,26.019223662515376,Nikita Nesterov,"(25.0ft, 30.0ft)",Nikita Kucherov
605,2017021127_216,2017021127,216,14.0,10.0,Goal,Wrist Shot,84.0,-13.0,3,REGULAR,212,988,2018-03-21 01:33:26,3,3,"Nikita Kucherov (37) Wrist Shot, assists: none",84.0,-13.0,left,8476453,Nikita,Kucherov,RW,1993-06-17,20172018,13.92838827718412,None,"(10.0ft, 15.0ft)",Nikita Kucherov
1921,2014021225_231,2014021225,231,14.0,6.0,Goal,Tip-In,68.0,7.0,3,REGULAR,312,888,2015-04-12 01:33:56,1,2,"Nikita Kucherov (29) Tip-In, assists: Nikita Nesterov (5), Matt Carle (14)",68.0,7.0,left,8476453,Nikita,Kucherov,RW,1993-06-17,20142015,22.135943621178654,Nikita Nesterov,"(20.0ft, 25.0ft)",Nikita Kucherov
2054,2015020159_45,2015020159,45,14.0,6.0,Goal,Wrist Shot,70.0,2.0,1,REGULAR,471,729,2015-10-31 23:24:09,0,1,"Nikita Kucherov (3) Wrist Shot, assists: Vladislav Namestnikov (2), Ondrej Palat (3)",70.0,2.0,left,8476453,Nikita,Kucherov,RW,1993-06-17,20152016,19.1049731745428,Vladislav Namestnikov,"(15.0ft, 20.0ft)",Nikita Kucherov
2358,2014030316_275,2014030316,275,14.0,3.0,Goal,Snap Shot,44.0,-8.0,3,REGULAR,470,730,2015-05-27 02:29:16,5,2,"Nikita Kucherov (8) Snap Shot, assists: Tyler Johnson (7)",44.0,-8.0,left,8476453,Nikita,Kucherov,RW,1993-06-17,20142015,45.70557952810576,Tyler Johnson,"(45.0ft, 50.0ft)",Nikita Kucherov
2359,2014030316_303,2014030316,303,14.0,3.0,Goal,Wrist Shot,70.0,4.0,3,REGULAR,801,399,2015-05-27 02:40:32,6,3,"Nikita Kucherov (9) Wrist Shot, assists: Tyler Johnson (8), Nikita Nesterov (5)",70.0,4.0,left,8476453,Nikita,Kucherov,RW,1993-06-17,20142015,19.4164878389476,Tyler Johnson,"(15.0ft, 20.0ft)",Nikita Kucherov
2376,2017030115_263,2017030115,263,14.0,1.0,Goal,Wrist Shot,41.0,-8.0,3,REGULAR,747,453,2018-04-21 21:28:42,0,2,"Nikita Kucherov (5) Wrist Shot, assists: Anton Stralman (1), Steven Stamkos (5)",41.0,-8.0,left,8476453,Nikita,Kucherov,RW,1993-06-17,20172018,48.662100242385755,Anton Stralman,"(45.0ft, 50.0ft)",Nikita Kucherov
