,player_id,fullName
292,8471214,Alex Ovechkin
354,8471675,Sidney Crosby
525,8474141,Patrick Kane
277,8470794,Joe Pavelski
769,8475765,Vladimir Tarasenko
649,8475166,John Tavares
785,8475794,Tyler Seguin
480,8473994,Jamie Benn
293,8471215,Evgeni Malkin
250,8470621,Corey Perry
416,8473419,Brad Marchand
458,8473604,Jonathan Toews
556,8474564,Steven Stamkos
444,8473548,Phil Kessel
500,8474053,Logan Couture
530,8474157,Max Pacioretty
890,8476453,Nikita Kucherov
369,8471707,James Neal
238,8470604,Jeff Carter
46,8466139,Patrick Marleau
254,8470638,Patrice Bergeron
189,8470041,Rick Nash
364,8471698,T.J. Oshie
539,8474190,Wayne Simmonds
242,8470610,Zach Parise
495,8474037,James van Riemsdyk
295,8471218,Blake Wheeler
360,8471685,Anze Kopitar
651,8475168,Matt Duchene
778,8475784,Jeff Skinner
