,play_id,game_id,play_num,team_id_for,team_id_against,event,secondaryType,x,y,period,periodType,periodTime,periodTimeRemaining,dateTime,goals_away,goals_home,description,st_x,st_y,rink_side,player_id,firstName,lastName,primaryPosition,birthDate,season,distance,assist,distance_bin,fullName
628,2016020869_192,2016020869,192,15.0,3.0,Goal,Wrist Shot,-65.0,-18.0,2,REGULAR,1044,156,2017-02-19 19:01:32,1,1,"Alex Ovechkin (27) Wrist Shot, assists: Lars Eller (11), Evgeny Kuznetsov (33)",65.0,18.0,right,8471214,Alex,Ovechkin,LW,1985-09-17,20162017,30.0,Lars Eller,"(30.0ft, 35.0ft)",Alex Ovechkin
707,2014030227_91,2014030227,91,15.0,3.0,Goal,Snap Shot,75.0,-2.0,1,REGULAR,770,430,2015-05-14 00:08:51,1,0,"Alex Ovechkin (5) Snap Shot, assists: Marcus Johansson (3), Nicklas Backstrom (5)",75.0,-2.0,left,8471214,Alex,Ovechkin,LW,1985-09-17,20142015,14.142135623730951,Marcus Johansson,"(10.0ft, 15.0ft)",Alex Ovechkin
905,2013020738_134,2013020738,134,15.0,3.0,Goal,Slap Shot,-69.0,-20.0,2,REGULAR,59,1141,2014-01-20 01:37:59,1,3,"Alex Ovechkin (35) Slap Shot, assists: Mike Green (21), Nicklas Backstrom (38)",69.0,20.0,right,8471214,Alex,Ovechkin,LW,1985-09-17,20132014,28.284271247461902,Mike Green,"(25.0ft, 30.0ft)",Alex Ovechkin
927,2012020467_60,2012020467,60,15.0,3.0,Goal,Tip-In,76.0,0.0,1,REGULAR,585,615,2013-03-24 23:25:19,2,0,"Alex Ovechkin (16) Tip-In, assists: Steve Oleksy (5), Nicklas Backstrom (24)",76.0,0.0,left,8471214,Alex,Ovechkin,LW,1985-09-17,20122013,13.0,Steve Oleksy,"(10.0ft, 15.0ft)",Alex Ovechkin
928,2012020467_338,2012020467,338,15.0,3.0,Goal,Wrist Shot,83.0,-3.0,5,SHOOTOUT,0,300,2013-03-25 01:41:31,2,2,Alex Ovechkin - Wrist Shot,83.0,-3.0,,8471214,Alex,Ovechkin,LW,1985-09-17,20122013,6.708203932499369,lex Ovechkin,"(5.0ft, 10.0ft)",Alex Ovechkin
2010,2016020755_181,2016020755,181,15.0,6.0,Goal,Snap Shot,56.0,17.0,2,REGULAR,1185,15,2017-02-02 02:40:15,2,3,"Alex Ovechkin (25) Snap Shot, assists: Matt Niskanen (24), Nicklas Backstrom (37)",56.0,17.0,left,8471214,Alex,Ovechkin,LW,1985-09-17,20162017,37.12142238654117,Matt Niskanen,"(35.0ft, 40.0ft)",Alex Ovechkin
2371,2017030315_292,2017030315,292,15.0,14.0,Goal,Slap Shot,-42.0,-20.0,3,REGULAR,1104,96,2018-05-20 01:48:48,2,3,"Alex Ovechkin (11) Slap Shot, assists: John Carlson (12), Lars Eller (8)",42.0,20.0,right,8471214,Alex,Ovechkin,LW,1985-09-17,20172018,51.07837115648854,John Carlson,"(50.0ft, 55.0ft)",Alex Ovechkin
2751,2013020902_86,2013020902,86,15.0,6.0,Goal,Slap Shot,-54.0,-27.0,1,REGULAR,1119,81,2014-03-01 18:40:45,1,0,"Alex Ovechkin (42) Slap Shot, assists: John Carlson (16), Nicklas Backstrom (48)",54.0,27.0,right,8471214,Alex,Ovechkin,LW,1985-09-17,20132014,44.204072210600685,John Carlson,"(40.0ft, 45.0ft)",Alex Ovechkin
2752,2013020902_113,2013020902,113,15.0,6.0,Goal,Slap Shot,48.0,23.0,2,REGULAR,144,1056,2014-03-01 19:06:28,2,0,"Alex Ovechkin (43) Slap Shot, assists: Marcus Johansson (30), Joel Ward (17)",48.0,23.0,left,8471214,Alex,Ovechkin,LW,1985-09-17,20132014,47.01063709417264,Marcus Johansson,"(45.0ft, 50.0ft)",Alex Ovechkin
2903,2014020506_270,2014020506,270,15.0,3.0,Goal,Snap Shot,62.0,19.0,3,REGULAR,658,542,2014-12-24 02:19:18,2,3,"Alex Ovechkin (16) Snap Shot, assists: John Carlson (22), Marcus Johansson (11)",62.0,19.0,left,8471214,Alex,Ovechkin,LW,1985-09-17,20142015,33.015148038438355,John Carlson,"(30.0ft, 35.0ft)",Alex Ovechkin
